employee_id,name,gender,city,province,latitude,longitude,department,job_title,hire_date,birth_date,termination_date,education_level,salary,performance_rating,overtime
BEM0005,R.M. Hendri Putra,Male,Bekasi,Jawa Barat,-6.2383,106.9756,Operations,Logistics Specialist,2022-01-24,1991-09-16,2028-10-03,Diploma,10719410,Good,No
SUF0010,"Hafshah Najmudin, S.Pd",Female,Surabaya,Jawa Timur,-7.2575,112.7521,Sales & Marketing,Sales Representative,2024-08-13,1987-03-16,,SMA/SMK,5631988,Needs Improvement,Yes
UBM0002,Ganjaran Yuliarti,Male,Ubud,Bali,-8.519,115.263,Customer Service,Support Specialist,2016-09-13,2001-02-13,,Diploma,5844210,Good,No
MAM0002,"Ir. Aurora Latupono, S.Farm",Male,Malang,Jawa Timur,-7.9819,112.6265,Operations,Operations Coordinator,2021-07-27,1986-12-19,,Diploma,9438950,Satisfactory,No
SUM0012,H. Estiawan Sinaga,Male,Surabaya,Jawa Timur,-7.2575,112.7521,Customer Service,Customer Care Representative,2024-09-04,1974-12-21,,SMA/SMK,5645382,Satisfactory,Yes
BAM0001,Janet Prakasa,Male,Bangkalan,Jawa Timur,-7.0439,112.9091,Sales & Marketing,Sales Executive,2023-03-11,1991-03-02,,SMA/SMK,7725117,Excellent,No
BAM0002,Kiandra Hastuti,Male,Bangkalan,Jawa Timur,-7.0439,112.9091,Sales & Marketing,Marketing Coordinator,2018-04-26,1997-06-16,2023-11-12,Sarjana (S1),10196849,Good,No
SUF0011,Lili Usamah,Female,Surabaya,Jawa Timur,-7.2575,112.7521,Customer Service,Customer Care Representative,2016-07-28,1990-04-17,,SMA/SMK,6887332,Satisfactory,No
BAM0003,Restu Hutasoit,Male,Bandung,Jawa Barat,-6.9175,107.6191,Operations,Logistics Specialist,2021-11-14,1979-03-10,,Diploma,10909853,Satisfactory,No
BAM0004,"Dr. Putu Iswahyudi, M.M.",Male,Bangkalan,Jawa Timur,-7.0439,112.9091,Customer Service,Customer Care Representative,2019-11-24,1985-02-27,,SMA/SMK,5140577,Satisfactory,Yes
BAF0004,Dartono Mahendra,Female,Bandung,Jawa Barat,-6.9175,107.6191,Customer Service,Customer Care Representative,2017-01-17,1984-10-20,,SMA/SMK,6645795,Excellent,No
BOM0004,"Malika Sihotang, S.Sos",Male,Bogor,Jawa Barat,-6.595,106.8167,Sales & Marketing,Sales Representative,2017-06-16,1998-07-07,,SMA/SMK,7186014,Needs Improvement,No
MAF0005,Endah Hidayanto,Female,Malang,Jawa Timur,-7.9819,112.6265,Customer Service,Customer Care Representative,2019-11-20,1970-11-02,2027-12-15,SMA/SMK,5776803,Satisfactory,Yes
SUF0012,Cakrawangsa Susanti,Female,Surabaya,Jawa Timur,-7.2575,112.7521,Finance,Finance Assistant,2017-04-21,1973-03-26,,Diploma,6265375,Good,No
TAM0002,Ani Iswahyudi,Male,Tangerang,Banten,-6.1702,106.6319,Sales & Marketing,Sales Representative,2021-05-01,1972-12-18,,SMA/SMK,6372326,Good,Yes
SUM0013,Opung Pangestu,Male,Surabaya,Jawa Timur,-7.2575,112.7521,Sales & Marketing,Sales Representative,2021-02-22,1970-05-02,,SMA/SMK,5000000,Satisfactory,No
MAF0006,Sutan Wasis Sitorus,Female,Malang,Jawa Timur,-7.9819,112.6265,Finance,Accountant,2022-08-01,1972-11-02,,Diploma,9616402,Good,Yes
MAF0007,"Uchita Dongoran, S.IP",Female,Malang,Jawa Timur,-7.9819,112.6265,Operations,Operations Coordinator,2017-10-21,1975-10-17,,Diploma,8512715,Good,No
SUM0014,"Rusman Wahyudin, S.IP",Male,Surabaya,Jawa Timur,-7.2575,112.7521,Sales & Marketing,Sales Executive,2018-12-04,1975-09-14,,Diploma,6284018,Needs Improvement,Yes
DEF0001,"Ganjaran Manullang, S.Sos",Female,Denpasar,Bali,-8.6705,115.2126,Sales & Marketing,Sales Executive,2022-02-26,1976-12-12,,SMA/SMK,6092478,Good,Yes
BAF0005,Gangsar Ramadan,Female,Bandung,Jawa Barat,-6.9175,107.6191,Customer Service,Support Specialist,2015-12-12,1972-10-17,,Diploma,5354148,Good,No
BEM0006,Kayun Habibi,Male,Bekasi,Jawa Barat,-6.2383,106.9756,Customer Service,Customer Care Representative,2024-04-26,1973-12-25,2031-11-04,SMA/SMK,5700880,Good,No
SEM0002,Ilsa Kurniawan,Male,Semarang,Jawa Tengah,-6.9667,110.4167,IT,Network Engineer,2021-01-11,1991-12-20,,Diploma,8413656,Excellent,No
SEM0003,"Among Januar, S.E.I",Male,Semarang,Jawa Tengah,-6.9667,110.4167,Customer Service,Support Specialist,2017-01-25,2002-06-12,,Diploma,5272904,Satisfactory,No
JAM0004,Julia Hasanah,Male,Jakarta,DKI Jakarta,-6.2088,106.8456,Operations,Operations Coordinator,2017-05-29,1983-12-26,,Diploma,10788775,Good,No
SUM0015,"Eluh Siregar, S.Ked",Male,Surabaya,Jawa Timur,-7.2575,112.7521,Operations,Operations Coordinator,2019-12-15,1990-06-29,,Diploma,10817228,Excellent,No
BAM0005,Elvin Kuswandari,Male,Bangkalan,Jawa Timur,-7.0439,112.9091,Business Development,Project Coordinator,2018-05-24,1989-09-03,,Sarjana (S1),10933964,Good,Yes
BAF0006,R. Lukita Namaga,Female,Bangkalan,Jawa Timur,-7.0439,112.9091,Operations,Logistics Specialist,2021-01-12,1985-03-16,,Sarjana (S1),9167857,Satisfactory,No
TAM0003,Salsabila Winarno,Male,Tangerang,Banten,-6.1702,106.6319,Operations,Operations Coordinator,2015-07-04,1987-11-21,,Diploma,10425948,Good,No
UBM0003,"R.A. Rahmi Nababan, S.E.I",Male,Ubud,Bali,-8.519,115.263,HR,Recruiter,2024-09-08,1972-12-03,,Diploma,5582515,Satisfactory,No
BAF0007,Ir. Wirda Tarihoran,Female,Bandung,Jawa Barat,-6.9175,107.6191,Operations,Operations Coordinator,2023-02-27,1977-08-23,,Diploma,7410086,Good,No
JAM0005,"Tiara Agustina, M.Pd",Male,Jakarta,DKI Jakarta,-6.2088,106.8456,Sales & Marketing,Sales Executive,2016-01-02,2000-07-12,,SMA/SMK,7668617,Good,No
SUF0013,Wadi Manullang,Female,Surabaya,Jawa Timur,-7.2575,112.7521,Customer Service,Customer Care Representative,2017-09-05,1998-11-01,,SMA/SMK,5857712,Needs Improvement,No
BAF0008,R. Irma Melani,Female,Bangkalan,Jawa Timur,-7.0439,112.9091,Business Development,Business Analyst,2022-03-01,1995-07-24,,Sarjana (S1),13105994,Good,Yes
SUF0014,Calista Wijayanti,Female,Surabaya,Jawa Timur,-7.2575,112.7521,Customer Service,Support Specialist,2019-02-10,1987-07-11,2020-06-27,SMA/SMK,5596956,Satisfactory,Yes
TAM0004,Danang Purwanti,Male,Tangerang,Banten,-6.1702,106.6319,Sales & Marketing,Marketing Coordinator,2024-02-21,1981-07-28,2032-11-09,Sarjana (S1),8019797,Needs Improvement,No
MAM0003,Cornelia Kusumo,Male,Malang,Jawa Timur,-7.9819,112.6265,IT,Technical Support,2023-04-14,1998-05-01,2025-01-11,Diploma,7519021,Excellent,No
DEM0001,"Vera Prayoga, S.Sos",Male,Denpasar,Bali,-8.6705,115.2126,HR,Payroll,2022-07-15,1999-10-02,,Diploma,6271432,Good,No
TAM0005,Rini Dabukke,Male,Tangerang,Banten,-6.1702,106.6319,Operations,Logistics Specialist,2023-04-26,1998-10-29,,Diploma,11375400,Good,Yes
SUM0016,Dr. Ina Kurniawan,Male,Surabaya,Jawa Timur,-7.2575,112.7521,Customer Service,Customer Care Representative,2022-08-25,1990-11-18,,SMA/SMK,5960469,Good,No
JAM0006,"R.A. Melinda Salahudin, S.T.",Male,Jakarta,DKI Jakarta,-6.2088,106.8456,IT,Software Developer,2023-09-29,1974-08-03,,Diploma,11911477,Good,No
SUM0017,Suci Tamba,Male,Surabaya,Jawa Timur,-7.2575,112.7521,Customer Service,Support Specialist,2019-06-09,1971-09-25,,Diploma,5282986,Needs Improvement,Yes
UBM0004,Jindra Mansur,Male,Ubud,Bali,-8.519,115.263,Operations,Operations Coordinator,2021-11-19,1992-01-01,,Diploma,7878639,Good,No
JAF0006,Galar Handayani,Female,Jakarta,DKI Jakarta,-6.2088,106.8456,Customer Service,Support Specialist,2019-09-13,1969-12-28,,SMA/SMK,5000000,Good,Yes
BEF0001,Darijan Hasanah,Female,Bekasi,Jawa Barat,-6.2383,106.9756,Customer Service,Customer Care Representative,2018-04-17,1998-08-09,,SMA/SMK,5469669,Satisfactory,Yes
JAM0007,Mulya Maryadi,Male,Jakarta,DKI Jakarta,-6.2088,106.8456,Customer Service,Customer Care Representative,2015-02-26,1982-06-05,2024-04-10,SMA/SMK,7369042,Good,No
JAF0007,Ophelia Novitasari,Female,Jakarta,DKI Jakarta,-6.2088,106.8456,IT,Technical Support,2023-02-14,1979-01-27,,Diploma,8106326,Satisfactory,Yes
BOM0005,Gading Latupono,Male,Bogor,Jawa Barat,-6.595,106.8167,Operations,Logistics Specialist,2022-06-03,1990-07-08,,Sarjana (S1),8829156,Satisfactory,No
BEM0007,Ghani Aryani,Male,Bekasi,Jawa Barat,-6.2383,106.9756,IT,Network Engineer,2019-09-20,1998-03-10,,Sarjana (S1),9988164,Good,No
SUM0018,Winda Usada,Male,Surabaya,Jawa Timur,-7.2575,112.7521,Sales & Marketing,Marketing Coordinator,2018-10-11,1994-05-12,,Sarjana (S1),11139155,Good,No
JAF0008,"Lintang Farida, M.Pd",Female,Jakarta,DKI Jakarta,-6.2088,106.8456,Operations,Logistics Specialist,2023-05-18,1992-07-01,,Diploma,8512894,Needs Improvement,Yes
SEF0001,Agus Mustofa,Female,Semarang,Jawa Tengah,-6.9667,110.4167,Customer Service,Support Specialist,2019-04-19,1987-03-27,,Diploma,5000000,Good,No
BEF0002,"Okta Prabowo, S.Pt",Female,Bekasi,Jawa Barat,-6.2383,106.9756,IT,Network Engineer,2020-08-28,1995-12-28,,Sarjana (S1),8660071,Satisfactory,No
SUF0015,Jono Hastuti,Female,Surabaya,Jawa Timur,-7.2575,112.7521,Customer Service,Support Specialist,2022-04-30,1980-03-04,,Diploma,5000000,Good,No
TAM0006,Samiah Puspasari,Male,Tangerang,Banten,-6.1702,106.6319,Customer Service,Customer Care Representative,2022-12-20,2000-04-07,,SMA/SMK,5000000,Satisfactory,Yes
SUF0016,"Cut Karimah Dabukke, S.Pd",Female,Surabaya,Jawa Timur,-7.2575,112.7521,Operations,Operations Coordinator,2015-02-01,1992-11-29,,Diploma,10669653,Satisfactory,No
UBF0001,Nyana Irawan,Female,Ubud,Bali,-8.519,115.263,Business Development,Business Analyst,2016-01-04,1973-03-17,,Magister (S2),18528145,Good,Yes
SUF0017,"Queen Widiastuti, S.T.",Female,Surabaya,Jawa Timur,-7.2575,112.7521,Operations,Logistics Specialist,2019-05-10,1979-03-12,,Sarjana (S1),11988311,Good,No
SUF0018,Kemba Mangunsong,Female,Surabaya,Jawa Timur,-7.2575,112.7521,IT,Network Engineer,2024-03-19,1987-05-16,,Diploma,8806807,Good,No
DEF0002,R. Ajeng Kusmawati,Female,Denpasar,Bali,-8.6705,115.2126,IT,Network Engineer,2015-08-08,1998-12-07,,Sarjana (S1),9782756,Satisfactory,No
DEF0003,Caket Nuraini,Female,Denpasar,Bali,-8.6705,115.2126,Operations,Logistics Specialist,2019-06-17,1981-03-22,2021-10-06,Diploma,13662538,Good,Yes
SUF0019,Ibrani Purwanti,Female,Surakarta,Jawa Tengah,-7.556,110.8317,IT,Network Engineer,2021-03-28,1997-02-18,,Sarjana (S1),8164976,Good,No
SUF0020,Rosman Maryadi,Female,Surabaya,Jawa Timur,-7.2575,112.7521,Sales & Marketing,Marketing Coordinator,2023-07-10,1984-11-12,,Sarjana (S1),8667316,Excellent,Yes
SUF0021,"R.M. Saiful Purwanti, S.Kom",Female,Surabaya,Jawa Timur,-7.2575,112.7521,Finance,Accountant,2020-10-16,1988-08-21,,Sarjana (S1),8218070,Good,No
BAF0009,"Drs. Yessi Tampubolon, S.T.",Female,Bandung,Jawa Barat,-6.9175,107.6191,Business Development,Business Analyst,2015-10-23,1991-01-23,,Sarjana (S1),15843210,Excellent,No
SUF0022,Narji Mandala,Female,Surabaya,Jawa Timur,-7.2575,112.7521,Sales & Marketing,Marketing Coordinator,2022-11-25,1973-02-28,,Sarjana (S1),8254897,Good,No
SUF0023,Dt. Pranawa Hidayanto,Female,Surabaya,Jawa Timur,-7.2575,112.7521,Sales & Marketing,Marketing Coordinator,2023-11-02,1969-03-11,,Sarjana (S1),8291838,Good,Yes
SUF0024,Dt. Bakijan Utami,Female,Surabaya,Jawa Timur,-7.2575,112.7521,IT,Technical Support,2023-09-15,1983-06-19,2033-08-18,Diploma,7532211,Good,No
BAM0006,R.M. Anggabaya Budiman,Male,Bangkalan,Jawa Timur,-7.0439,112.9091,Sales & Marketing,Sales Executive,2020-09-20,1977-05-30,,SMA/SMK,7178316,Satisfactory,No
JAM0008,"Drs. Latika Kurniawan, M.M.",Male,Jakarta,DKI Jakarta,-6.2088,106.8456,Customer Service,Customer Care Representative,2014-11-19,1977-01-30,,SMA/SMK,7325211,Good,No
UBM0005,"Tgk. Eka Siregar, M.Ak",Male,Ubud,Bali,-8.519,115.263,IT,Software Developer,2024-01-24,1969-01-08,,Sarjana (S1),10119895,Good,No
SUF0025,Siti Yuniar,Female,Surabaya,Jawa Timur,-7.2575,112.7521,Operations,Operations Coordinator,2022-03-08,1973-07-23,,Diploma,7818775,Good,No
BAM0007,Vera Hakim,Male,Bandung,Jawa Barat,-6.9175,107.6191,HR,Recruiter,2019-08-23,1982-10-05,,Diploma,6447807,Good,Yes
SUM0019,Putri Simbolon,Male,Surabaya,Jawa Timur,-7.2575,112.7521,Business Development,Business Analyst,2024-06-08,1985-04-26,,Magister (S2),12632627,Satisfactory,Yes
BAF0010,"Hj. Rahmi Maryati, S.E.I",Female,Bangkalan,Jawa Timur,-7.0439,112.9091,Sales & Marketing,Sales Representative,2019-12-11,1982-10-13,,SMA/SMK,5598781,Excellent,Yes
SUM0020,Ulya Maulana,Male,Surabaya,Jawa Timur,-7.2575,112.7521,Finance,Accountant,2020-11-15,1981-07-24,,Sarjana (S1),8250215,Good,Yes
DEF0004,Paiman Wacana,Female,Denpasar,Bali,-8.6705,115.2126,Operations,Logistics Specialist,2019-01-09,1986-01-15,,Diploma,11799776,Good,No
SUF0026,Diah Hutapea,Female,Surabaya,Jawa Timur,-7.2575,112.7521,IT,Technical Support,2022-04-04,1999-08-12,,Diploma,6682836,Good,Yes
DEF0005,Himawan Saragih,Female,Denpasar,Bali,-8.6705,115.2126,Sales & Marketing,Sales Executive,2015-09-09,1989-06-04,2024-03-04,Diploma,7393616,Excellent,Yes
DEF0006,Mala Nasyidah,Female,Denpasar,Bali,-8.6705,115.2126,Finance,Finance Assistant,2018-08-21,1999-12-03,,Diploma,6887117,Excellent,No
SUM0021,Cindy Narpati,Male,Surabaya,Jawa Timur,-7.2575,112.7521,Sales & Marketing,Sales Executive,2019-02-22,1996-01-14,2027-07-11,Diploma,6527732,Satisfactory,No
JAM0009,Zamira Hidayanto,Male,Jakarta,DKI Jakarta,-6.2088,106.8456,IT,Network Engineer,2015-12-12,1993-08-24,,Sarjana (S1),10694170,Good,No
BAM0008,"R.M. Gada Firgantoro, S.Psi",Male,Bandung,Jawa Barat,-6.9175,107.6191,Customer Service,Customer Care Representative,2018-04-12,1971-10-26,2025-02-25,SMA/SMK,6824322,Satisfactory,No
SEM0004,Puput Maulana,Male,Semarang,Jawa Tengah,-6.9667,110.4167,IT,Network Engineer,2021-12-02,1992-10-09,2023-08-04,Diploma,8991581,Good,Yes
BAM0009,R. Estiawan Wulandari,Male,Bangkalan,Jawa Timur,-7.0439,112.9091,Sales & Marketing,Sales Representative,2022-06-21,1985-12-18,2031-06-19,SMA/SMK,5930819,Satisfactory,Yes
DEM0002,R.M. Bahuraksa Halim,Male,Denpasar,Bali,-8.6705,115.2126,Operations,Operations Coordinator,2022-08-02,1995-09-30,,Diploma,7460321,Satisfactory,No
BAM0010,"Sutan Kenzie Saragih, M.Pd",Male,Bangkalan,Jawa Timur,-7.0439,112.9091,Sales & Marketing,Sales Representative,2016-03-23,1983-11-29,,SMA/SMK,5469833,Excellent,Yes
MAM0004,Edi Dongoran,Male,Malang,Jawa Timur,-7.9819,112.6265,Sales & Marketing,Marketing Coordinator,2020-01-19,1998-07-07,,Sarjana (S1),9044884,Good,No
SUM0022,Fitria Wahyudin,Male,Surabaya,Jawa Timur,-7.2575,112.7521,Sales & Marketing,Sales Executive,2024-02-05,1987-08-06,,SMA/SMK,6598360,Good,No
MAM0005,"drg. Ayu Mansur, S.IP",Male,Malang,Jawa Timur,-7.9819,112.6265,IT,Technical Support,2023-05-14,1978-03-28,2024-11-20,Diploma,5338005,Good,No
SUM0023,"H. Wardaya Palastri, S.Pd",Male,Surabaya,Jawa Timur,-7.2575,112.7521,Finance,Accountant,2022-01-31,1977-03-06,,Diploma,9316236,Good,Yes
SEM0005,"Kiandra Zulaika, M.Pd",Male,Semarang,Jawa Tengah,-6.9667,110.4167,Sales & Marketing,Sales Representative,2021-11-09,1993-08-29,,SMA/SMK,5787240,Good,Yes
SUM0024,Cemeti Yulianti,Male,Surabaya,Jawa Timur,-7.2575,112.7521,Sales & Marketing,Sales Executive,2019-04-16,1976-01-19,,Diploma,8592274,Satisfactory,No
SUF0027,Jinawi Yuliarti,Female,Surabaya,Jawa Timur,-7.2575,112.7521,HR,HR Assistant,2020-06-10,1969-05-09,,SMA/SMK,5314089,Good,No
SUF0028,Tgk. Kezia Sudiati,Female,Surakarta,Jawa Tengah,-7.556,110.8317,Finance,Finance Assistant,2016-02-11,1974-11-19,,Diploma,7863864,Needs Improvement,Yes
JAM0010,Yono Purnawati,Male,Jakarta,DKI Jakarta,-6.2088,106.8456,Customer Service,Support Specialist,2015-01-11,1988-05-14,,SMA/SMK,5735237,Needs Improvement,No
JAF0009,Elon Farida,Female,Jakarta,DKI Jakarta,-6.2088,106.8456,Operations,Operations Coordinator,2022-05-19,1980-11-25,,Diploma,8147261,Good,No
BAF0011,Dt. Damar Wahyudin,Female,Bandung,Jawa Barat,-6.9175,107.6191,Customer Service,Support Specialist,2023-09-16,1973-08-16,,SMA/SMK,5000000,Good,No
SEF0002,Lidya Waskita,Female,Semarang,Jawa Tengah,-6.9667,110.4167,Finance,Accountant,2020-02-05,1970-07-04,,Diploma,9885854,Satisfactory,Yes
BEF0003,Waluyo Damanik,Female,Bekasi,Jawa Barat,-6.2383,106.9756,Business Development,Project Coordinator,2015-11-11,1987-03-12,,Magister (S2),11110987,Good,Yes
